index,Index,President,Start,End
34,35,John Fitzgerald Kennedy,1961-01-20,1963-11-22 
35,36,Lyndon Baines Johnson,1963-11-22,1969-01-20 
36,37,Richard Milhous Nixon,1969-01-20,1974-08-09
37,38,Gerald Rudolph Ford,1974-08-09,1977-01-20
38,39,James Earl Carter,1977-01-20,1981-01-20
39,40,Ronald Wilson Reagan,1981-01-20,1989-01-20
40,41,George Herbert Walker Bush,1989-01-20,1993-01-20
41,42,William Jefferson Clinton,1993-01-20,2001-01-20
42,43,George Walker Bush,2001-01-20,2009-01-20
43,44,Barack Obama,2009-01-20,2017-01-20
44,45,Donald Trump,2017-01-20,2021-01-20
